"date_sample","sample_source","sample_id","analyte","value_qualifier","analyte_value","value_units","source_description"
"2019-03-28","284 SYS","W1295746","Fluoride","","0.467","MG/L","Ocean View Hills Pkwy and Sea Drift Way"
"2019-03-29","173 SYS","W1295761","Fluoride","","0.547","MG/L","Rancho Hills & Reo Dr @ Library/Sample Stanchion"
"2019-03-30","55A SYS","W1291373","Fluoride","","0.536","MG/L","5183 Arvinels Ave."
"2019-03-31","313 SYS","W1295261","Fluoride","","0.632","MG/L","11602 Calle Paracho"
"2019-04-01","174 SYS","W1291378","Fluoride","","0.5660000000000001","MG/L","3250 Camino Del Rio North; Sample Stanchion"
"2019-04-02","284 SYS","W1297063","Chlorate","","209.0","UG/L","Ocean View Hills Pkwy and Sea Drift Way"
"2019-04-02","284 SYS","W1297063","Chlorite","","397.0","UG/L","Ocean View Hills Pkwy and Sea Drift Way"
"2019-04-02","67 SYS","W1297037","Fluoride","","0.638","MG/L","Pomerado Rd & Grandee Pl"
"2019-04-03","119 SYS","W1297136","pH","","8.2","PH","Lower Otay Recreation"
"2019-04-03","251 SYS","W1297141","Fluoride","","0.631","MG/L","5840 Ravenswood Rd."
"2019-04-04","215 SYS","W1297100","Fluoride","","0.65","MG/L","Across from 5105 Soledad Rd."
"2019-04-04","300 SYS","W1297192","Chlorate","","217.0","UG/L","5368 Topsail Drive"
"2019-04-04","300 SYS","W1297192","Chlorite","","363.0","UG/L","5368 Topsail Drive"
"2019-04-05","171 SYS","W1297213","Fluoride","","0.562","MG/L","6541 Broadway"
"2019-04-06","208A SYS","W1295290","Fluoride","","0.5479999999999999","MG/L","Across from 6236 Wenrich"
"2019-04-07","50A SYS","W1295295","Fluoride","","0.642","MG/L","2693 Melbourne Dr."
"2019-04-08","304 SYS","W1297921","Fluoride","","0.636","MG/L","14462 Garden Trail"
"2019-04-09","229 SYS","W1298063","Fluoride","","0.259","MG/L","Carmel Park Dr/Del Mar Glen @ Public School"
"2019-04-09","OT COMB FILTER","W1298168","pH","","7.38","PH","OT FP Filter Combined Filter Effluent"
"2019-04-09","OT COMB FILTER","W1298168","Total THMs","","6.6","UG/L","OT FP Filter Combined Filter Effluent"
"2019-04-09","OT FILTER 1-8","W1298166","pH","","7.72","PH","OT FP Filters 1-8"
"2019-04-09","OT FILTER 1-8","W1298166","Total THMs","","5.93","UG/L","OT FP Filters 1-8"
"2019-04-09","OT FILTER 9-16","W1298167","pH","","7.66","PH","OT FP Filters  9-16"
"2019-04-09","OT FILTER 9-16","W1298167","Total THMs","","6.27","UG/L","OT FP Filters  9-16"
"2019-04-09","OT SETTLED","W1298165","pH","","7.38","PH","OT FP Settled"
"2019-04-09","OT SETTLED","W1298165","Total THMs","","9.42","UG/L","OT FP Settled"
"2019-04-10","119 SYS","W1298269","pH","","8.37","PH","Lower Otay Recreation"
"2019-04-10","206 SYS","W1298274","Fluoride","","0.54","MG/L","1055 Catalina Blvd @ Fire Station Sample Stanchion"
"2019-04-11","277A SYS","W1298301","Fluoride","","0.7190000000000001","MG/L"," 12241 Camino Del Sur"
"2019-04-12","205 SYS","W1298351","Fluoride","","0.4029999999999999","MG/L","close to 1856 Manzana Way; Sample Stanchion"
"2019-04-13","155 SYS","W1295300","Fluoride","","0.5","MG/L","Adams & Marlborough"
